Gênero,Tipo de Escola,INDE 22,INDE 23,INDE 24,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Defasagem
Feminino,Pública,0.0,8.5242,8.0758287879,10.002,9.7727272725,7.505,7.8125,5.0,7.946666667,10.0,0
Masculino,Pública,0.0,0.0,7.622839525700001,8.418,6.6501976285,7.51,7.5,7.25,7.5,10.0,0
Masculino,Pública,7.515200746031747,6.1683,6.2114602109,9.002,7.3221343875,5.63,5.625,6.0,5.106666667,5.0,-1
Masculino,Pública,0.0,6.415708333,7.1404338602,8.002,7.055335968,5.63,6.875,7.5,8.393333333,5.0,-2
Feminino,Pública,0.0,8.5262,8.5209954545,9.002,9.5227272725,7.51,7.8125,7.75,8.17,10.0,0
Masculino,Privada,8.259504831168831,7.4277,7.769381818200001,10.002,9.090909091,7.51,7.5,4.25,8.0,10.0,0
Masculino,Pública,0.0,7.0602,6.8757227273,9.502,8.6363636365,7.51,5.3125,6.25,5.83,5.0,-1
Masculino,Pública,0.0,8.8112,8.697700000000001,8.002,10.0,7.51,8.125,8.75,7.92,10.0,0
Feminino,Pública,0.0,7.058533333,7.797790909100001,9.002,8.7954545455,6.885,7.5,8.75,7.25,5.0,-1
Masculino,Pública,0.0,7.434033333,8.01645,8.502,9.75,7.51,7.8125,8.0,7.92,5.0,-1
Feminino,Pública,0.0,8.8142,8.67895,10.002,10.0,7.51,8.4375,9.5,8.42,5.0,-1
