ID_ALUNO,ANO,IAN,IDA,IEG,IAA,IPS,IPP,IPV,INDE_2024,DEFAS_UNICA,DELTA_IDA
RA-1090,2023,5.0,9.0,9.6,9.0,2.52,8.958333333,7.88,,-1.0,
RA-1090,2024,10.0,6.333333333333333,7.621832358666666,9.585,7.51,7.8125,7.4175,7.7652831384,0.0,-2.666666666666667
RA-1091,2023,5.0,9.5,9.0,8.5,2.52,8.958333333,9.1725,,-1.0,
RA-1092,2023,5.0,6.9,9.8,7.8,2.52,8.75,8.2975,,-1.0,
RA-1093,2023,10.0,9.2,9.3,7.0,2.52,8.958333333,8.2975,,0.0,
RA-1093,2024,10.0,8.666666666666666,7.722222222333333,7.5,8.13,8.90625,8.8825,8.5079027778,0.0,-0.5333333333333332
RA-1094,2023,10.0,8.5,9.5,7.8,2.52,8.75,8.3375,,0.0,
RA-1094,2024,10.0,7.333333333333333,9.523809523666666,9.168,2.51,8.4375,8.1675,8.0164785714,0.0,-1.166666666666667
RA-1095,2023,5.0,5.3,9.8,0.0,2.52,8.75,8.005,,-1.0,
RA-1095,2024,10.0,2.3333333333333335,7.84502924,7.5,7.51,5.46875,5.125,6.108547514666667,0.0,-2.9666666666666663
RA-1096,2023,10.0,9.6,9.9,9.5,2.52,8.958333333,8.0875,,0.0,
RA-1096,2024,10.0,8.5,9.866666666666667,9.168,8.755,9.0625,9.09,9.189883333333334,1.0,-1.0999999999999996
RA-1097,2023,5.0,5.4,8.6,9.5,5.0,8.125,6.96,,-2.0,
RA-1097,2024,5.0,3.0,4.849791144666667,10.002,6.25,6.041666667,5.88,5.475324895633334,-1.0,-2.4000000000000004
RA-1098,2023,5.0,6.4,9.5,9.5,2.52,8.125,7.92,,-1.0,
RA-1098,2024,10.0,3.5,5.822406257,8.751,7.51,7.34375,6.7475,6.5744562514,0.0,-2.9000000000000004
RA-1099,2023,5.0,5.2,9.6,9.0,2.52,8.333333333,8.34,,-1.0,
RA-1099,2024,10.0,3.8333333333333335,8.133333333333333,8.334,10.0,7.8125,6.6225,7.332483333333334,0.0,-1.3666666666666667
RA-110,2023,10.0,7.5,8.6,8.3,5.0,8.75,8.2975,,0.0,0.7999999999999998
RA-110,2024,10.0,8.5,9.696969697,9.168,6.255,7.5,8.504,8.6324939394,0.0,1.0
RA-1100,2023,10.0,7.1,9.2,10.0,5.0,8.541666667,8.283333333,,0.0,
RA-1100,2024,10.0,4.666666666666667,7.1000000000000005,7.5,7.51,6.71875,5.6175,6.649708333333334,1.0,-2.4333333333333327
RA-1101,2023,10.0,5.3,7.2,0.0,5.0,8.333333333,8.116666667,,0.0,
RA-1102,2023,10.0,7.5,9.5,9.5,5.0,7.708333333,7.56,,0.0,
RA-1102,2024,10.0,9.333333333333334,9.390476190333333,8.751,8.13,5.9375,7.07,8.440611904733334,1.0,1.833333333333334
RA-1103,2023,10.0,5.0,8.7,9.0,5.0,8.333333333,8.006666667,,0.0,
RA-1103,2024,10.0,7.25,7.763975155000001,8.502,7.51,7.5,7.54,7.861995031000001,0.0,2.25
RA-1104,2023,5.0,6.4,10.0,5.7,2.52,8.541666667,9.063333333,,-1.0,
RA-1105,2023,5.0,6.0,9.0,0.0,2.52,8.125,8.673333333,,-1.0,
RA-1106,2023,5.0,5.1,9.3,8.5,5.0,8.333333333,8.003333333,,-1.0,
